id,original_amount,txn_date,plaid_category,plaid_dirty_name
1312,3.5,2019-11-20,['Food and Drink'],PepsiCo
97452,5.09,2020-11-04,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 11/04
39582,9.39,2019-05-01,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
97707,10.2,2020-09-14,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 09/13
90662,53.4,2020-11-06,"['Shops', 'Pets']",CHEWY.COM POS FL US XX4330
79034,16.6,2020-10-02,"['Service', 'Food and Beverage']",DOORDASH*DUNKIN WWW.DOORDASH.
98910,10.0,2019-10-15,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 10/14
85098,14.95,2020-07-23,"['Shops', 'Bookstores']",Audible
48099,9.35,2020-11-01,"['Shops', 'Beauty Products']",Sephora
64956,2.0,2020-12-10,"['Travel', 'Parking']",POS DEBIT NYCDOT PARKING METERS
35689,9.52,2020-07-13,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
1287,1.75,2019-12-09,['Food and Drink'],PepsiCo
98499,12.94,2020-01-21,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 01/18
92595,15.06,2020-12-29,"['Shops', 'Clothing and Accessories']",Ross Dress for Less
31972,20.26,2020-03-23,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
45661,5.0,2018-07-11,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
37099,13.42,2019-10-03,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
32535,5.0,2019-08-08,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
35173,15.57,2020-09-16,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
1351,3.5,2019-11-06,['Food and Drink'],PepsiCo
40011,16.28,2018-12-17,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
56263,8.71,2019-12-12,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
45751,5.0,2018-06-13,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
96318,3.0,2019-04-03,"['Shops', 'Discount Stores']",Dollar General
33731,4.76,2020-06-24,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
104701,5.29,2020-10-24,"['Shops', 'Discount Stores']",Dollar General
45597,5.0,2018-08-01,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
26760,50.71,2020-06-08,"['Travel', 'Gas Stations']",Cumberland Farms
92499,53.66,2020-05-28,"['Shops', 'Pets']",CHEWY.COM FL PMT-KKQOCDSKBK
109811,194.64,2020-01-24,"['Service', 'Shipping and Freight']",UPS
45629,5.0,2018-07-20,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
80986,199.81,2020-10-15,"['Shops', 'Beauty Products']",Sephora
45169,2.43,2016-08-29,"['Shops', 'Pharmacies']",Duane Reade
17077,4.0,2020-08-03,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 07/31
3384,448.8,2019-10-07,"['Transfer', 'Debit']",ALLY CASHBACK
76714,12.32,2019-12-09,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
18466,3.31,2019-10-10,"['Shops', 'Pharmacies']",Duane Reade
45743,5.0,2018-06-15,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
32516,5.0,2019-08-13,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
45562,3.0,2018-08-13,"['Travel', 'Public Transportation Services']",VENTRA VENDING 10701
99134,10.0,2019-08-12,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 08/11
77285,14.22,2018-12-31,"['Travel', 'Gas Stations']",Debit Purchase -visa 12/27 card 6332 Marathon Petro12versailles
14280,82.45,2019-10-30,"['Shops', 'Pharmacies']",Duane Reade
112031,18.5,2021-01-20,['Service'],WIX.COM*Prem 0018006000949
37426,21.82,2019-08-02,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
68396,61.16,2019-12-24,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
44625,32.0,2017-06-26,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
3774,718.79,2019-04-02,"['Transfer', 'Debit']",ALLY CASHBACK
49925,75.71,2020-04-23,"['Service', 'Shipping and Freight']",UPS
121857,19.73,2019-03-11,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
54867,11.73,2018-12-31,"['Shops', 'Supermarkets and Groceries']",Jewel-Osco
100537,5.61,2021-01-11,"['Shops', 'Pharmacies']",POS DEBIT JEWEL OSCO 3474
68309,28.82,2020-02-17,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
114769,32.35,2019-05-24,"['Service', 'Shipping and Freight']",UPS
30612,5.3,2019-06-13,"['Travel', 'Gas Stations']",Sheetz
78814,18.5,2020-11-23,['Service'],Recurring Payment - WIX.COM*Premium-Pl
44510,5.0,2017-07-31,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
54337,5.15,2019-11-29,"['Food and Drink', 'Restaurants', 'Fast Food']",White Castle
32781,14.53,2019-04-27,"['Food and Drink', 'Restaurants']",Chick-fil-A
121894,12.58,2019-02-25,"['Service', 'Insurance']",State Farm
73716,10.0,2020-06-22,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 06/20
16155,2.17,2019-11-15,"['Shops', 'Discount Stores']",Dollar Tree
73736,10.0,2020-06-22,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 06/20
123281,13.84,2020-04-13,"['Food and Drink', 'Restaurants', 'Fast Food']",White Castle
62845,6.59,2020-12-09,"['Shops', 'Pharmacies']",POS DEBIT JEWEL OSCO 3474
11733,20.0,2020-10-13,"['Travel', 'Tolls and Fees']",MAINE TURNPIKE AUTHORITY
94362,20.85,2020-07-29,"['Food and Drink', 'Restaurants']",VISA DDA PUR 476501 TROPICAL SMOOTHIE NC49 CHARLOTTE *
14333,20.0,2019-10-16,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
15741,8.0,2019-05-02,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
63346,13.97,2019-09-15,"['Food and Drink', 'Restaurants', 'Fast Food']",White Castle
14393,28.5,2019-10-10,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
25485,14.13,2019-01-31,"['Shops', 'Clothing and Accessories']",T.J.Maxx
68137,15.02,2020-05-20,"['Travel', 'Gas Stations']",QuikTrip
67055,60.47,2019-09-24,"['Service', 'Shipping and Freight']",UPS*1ZT3P27U0200025811
44416,4.48,2017-08-25,"['Food and Drink', 'Restaurants']",DUNKIN #336909 Q35 ATLANTIC CITY NJ 08/24
33437,5.05,2020-09-14,"['Travel', 'Gas Stations']",MARATHON PETRO1207 09-11 FORT
9747,15.25,2019-08-08,"['Travel', 'Gas Stations']",MARATHON PETRO135046
56607,10.72,2019-09-09,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
45987,5.0,2018-03-15,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
15417,4.0,2019-06-17,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
1105,14.89,2020-05-26,"['Service', 'Shipping and Freight']",THE UPS STORE #5803 COLLEGE STATI TX 05/26
52719,5.0,2019-02-19,['Service'],WIX.COM*3906096
72851,100.0,2020-10-05,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 10/03
93855,69.52,2020-12-30,"['Shops', 'Pets']",CHEWY.COM
111222,13.39,2018-09-26,"['Food and Drink', 'Restaurants']",Tropical Smoothie Cafe
39892,13.43,2019-02-01,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
100035,5.91,2021-01-08,"['Travel', 'Gas Stations']",POS DEBIT FOOD SMAR 2901 W ARMIT CHICAGO IL 00NN09742
126307,27.48,2021-02-03,"['Shops', 'Clothing and Accessories']",POS DEBIT ROSS STORES #1469
102939,5.3,2020-09-28,"['Shops', 'Discount Stores']",Dollar Tree
97815,19.44,2020-08-18,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 08/18
97334,8.3,2020-12-07,"['Food and Drink', 'Restaurants', 'Fast Food']",White Castle
48468,132.0,2020-06-13,['Service'],Wix.com*
34052,2.51,2020-03-23,"['Travel', 'Gas Stations']",MARATHON PETRO1207 03-20 FORT
72776,5.0,2020-10-15,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 10/14
68055,25.08,2020-06-26,"['Travel', 'Gas Stations']",QuikTrip
99393,5.0,2019-06-07,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 06/06
120283,7.29,2020-06-26,"['Food and Drink', 'Restaurants', 'Fast Food']",White Castle
50285,10.85,2019-11-03,"['Shops', 'Beauty Products']",Sephora
91563,2.0,2020-12-28,"['Travel', 'Parking']",POS DEBIT NYCDOT PARKING METERS
84834,14.95,2020-10-23,"['Shops', 'Bookstores']",Audible
72847,30.0,2020-10-05,"['Service', 'Personal Care']",GLOBALPOK GOLD COIN gp@vgw.co 10/03
73914,20.0,2020-05-26,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 05/22
14631,21.0,2019-09-09,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
21685,13.17,2018-12-02,"['Food and Drink', 'Restaurants']",Hover.Com
32328,10.0,2019-10-15,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
94185,19.79,2020-10-26,"['Food and Drink', 'Restaurants']",Tropical Smoothie Cafe
95231,10.23,2020-07-06,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
9854,41.4,2019-06-07,"['Service', 'Shipping and Freight']",UPS
14420,23.92,2019-10-07,"['Shops', 'Pharmacies']",Duane Reade
9730,55.9,2019-08-14,"['Shops', 'Pets']",CHEWY.COM
18447,26.12,2019-10-15,"['Shops', 'Pharmacies']",Duane Reade
3593,483.54,2019-07-03,"['Transfer', 'Debit']",ALLY CASHBACK
14025,7.87,2019-12-06,"['Shops', 'Pharmacies']",Duane Reade
98265,5.0,2020-03-05,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 03/04
114150,5.1,2020-06-19,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
45735,5.0,2018-06-18,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
45427,5.0,2018-09-28,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
15165,12.34,2019-07-29,"['Shops', 'Pharmacies']",Duane Reade
1311,1.75,2019-11-20,['Food and Drink'],PepsiCo
97717,6.05,2020-09-11,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 09/11
59730,7.46,2019-10-09,"['Shops', 'Discount Stores']",Dollar Tree
37267,49.56,2019-09-03,"['Travel', 'Gas Stations']",Sheetz
106672,17.55,2020-07-20,"['Shops', 'Convenience Stores']",Cumberland Farms
98797,5.0,2019-11-08,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 11/07
111504,27.21,2018-08-05,"['Shops', 'Clothing and Accessories']",Ross Dress for Less
57182,15.0,2019-03-04,"['Transfer', 'Debit']",TRANSFER TO GOMEZ AARON ON 03/04 REF #PP05W9GJ9W PANDA PANDA PANDA
1051,39.98,2020-07-02,"['Travel', 'Gas Stations']",PHILLIPS 66 - JENNY'S CASTLE ROCK CO 07/02
90123,16.09,2020-12-05,['Service'],CHICK-FIL-A #03815
56939,7.71,2019-05-28,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
122858,5.74,2020-08-31,"['Shops', 'Beauty Products']",ULTA #1082 08/30 PURCHASE
44126,10.5,2017-12-04,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
87414,264.62,2020-07-16,"['Shops', 'Beauty Products']",Sephora
43153,716.78,2017-09-13,"['Transfer', 'Debit']",ALLY CASHBACK
54213,8.5,2020-02-20,"['Travel', 'Parking']",SPOTHERO 844-356-805 HTTPSSPOTHERO IL 02/19
92604,5.41,2020-12-29,['Food and Drink'],Smoothie King
90650,2.16,2020-11-14,"['Shops', 'Discount Stores']",Dollar Tree
6652,1.72,2019-07-05,"['Shops', 'Convenience Stores']",MANELE GENERAL STORE
75052,107.17,2019-12-03,"['Shops', 'Beauty Products']",ULTA # 476 SAN MARCOS TX 12/03
34750,7.46,2020-11-12,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
88023,135.36,2020-01-24,"['Service', 'Insurance']",State Farm
43062,251.23,2017-12-14,"['Transfer', 'Debit']",ALLY CASHBACK
75915,1.08,2019-04-29,"['Shops', 'Discount Stores']",Dollar Tree
15669,18.0,2019-05-14,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
16950,4.0,2020-08-28,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 08/27
78888,19.6,2020-11-04,"['Shops', 'Beauty Products']",Sephora
17329,4.0,2020-06-19,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 06/18
44166,32.0,2017-11-13,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
71533,3.0,2019-08-23,"['Travel', 'Public Transportation Services']",VENTRA VENDING 12105
45202,5.43,2016-08-15,"['Food and Drink', 'Restaurants']",DUNKIN #307669 Q35 RIDGEWOOD NY 08/12
35727,19.08,2020-07-08,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
73599,20.0,2020-07-08,"['Service', 'Personal Care']",GLOBALPOK GOLD COIN gp@vgw.co 07/07
89543,25.0,2019-01-18,"['Travel', 'Parking']",NYCDOT PARKNYC NY 01/17
29843,2.42,2020-05-11,"['Service', 'Shipping and Freight']",UPS
102826,18.91,2020-11-13,"['Shops', 'Discount Stores']",Dollar General
87366,14.25,2020-07-24,"['Travel', 'Parking']",SPOTHERO 844-356-805 HTTPSSPOTHERO IL 07/24
8687,40.84,2019-06-14,"['Shops', 'Clothing and Accessories']",T.J. Maxx
59720,87.88,2019-10-17,"['Service', 'Insurance']",State Farm
34904,7.46,2020-10-19,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
44764,32.0,2017-04-04,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
34113,38.78,2020-03-02,"['Travel', 'Gas Stations']",MARATHON PETRO1207 02-28 FORT
3446,200.0,2019-09-09,"['Transfer', 'Debit']",ALLY CASHBACK
116833,4.37,2019-11-04,"['Shops', 'Clothing and Accessories', ""Women's Store""]",Ross Dress for Less
92310,32.86,2020-12-27,"['Shops', 'Pets']",CHEWY INC
73591,10.0,2020-07-09,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 07/08
3221,163.3,2019-12-13,"['Transfer', 'Debit']",ALLY CASHBACK
126533,13.77,2020-11-09,"['Shops', 'Clothing and Accessories']",T.J.Maxx
64080,4.17,2020-09-14,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
53325,21.58,2020-06-13,"['Travel', 'Gas Stations']",QuikTrip
45773,5.0,2018-06-06,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
73780,10.0,2020-06-15,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 06/13
79032,57.24,2020-10-05,"['Shops', 'Beauty Products']",Sephora
65579,5.87,2020-03-06,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
38621,4.24,2019-11-20,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
17187,4.0,2020-07-13,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 07/10
39907,17.64,2019-01-28,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
54538,10.0,2019-07-26,"['Travel', 'Public Transportation Services']",VENTRA VENDING 12001 CHICAGO IL 07/25
121351,108.47,2019-08-26,"['Service', 'Insurance']",State Farm
27978,50.43,2019-09-12,"['Shops', 'Convenience Stores']",Cumberland Farms
87501,66.12,2020-06-24,"['Service', 'Insurance']",State Farm
119560,8.8,2020-11-18,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
46094,5.0,2018-01-24,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
35974,17.95,2020-05-29,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
34191,2.1,2020-01-27,"['Travel', 'Gas Stations']",MARATHON PETRO1207 01-25 FORT
14457,6.0,2019-09-30,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
14024,25.0,2019-12-06,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
98649,10.0,2019-12-16,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 12/15
99240,17.1,2019-07-12,"['Travel', 'Gas Stations']",MARATHON PETRO12 CHICAGO IL 07/12
15537,4.0,2019-06-03,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
37187,14.65,2019-09-16,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
13671,32.29,2020-01-06,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
54507,28.71,2019-08-26,"['Shops', 'Clothing and Accessories']",T.J. MAXX 2099 1/2 N MELROSE PARK IL 08/24
96699,26.52,2021-01-06,"['Shops', 'Pharmacies']",POS DEBIT JEWEL OSCO 3474
33922,2.51,2020-05-04,"['Travel', 'Gas Stations']",MARATHON PETRO1207 05-01 FORT
15056,14.5,2019-08-05,['Service'],Recurring Payment - WIX.COM*488659323
73585,10.0,2020-07-10,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 07/09
15395,22.88,2019-06-20,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
59422,15.25,2020-05-14,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
38901,5.91,2019-10-02,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
36956,14.51,2019-10-31,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
45647,16.37,2018-07-14,"['Food and Drink', 'Restaurants']",Chick-fil-A
14339,24.0,2019-10-15,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
32822,12.06,2019-04-06,"['Food and Drink', 'Restaurants']",Chick-fil-A
88608,3.0,2019-09-27,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 09/26
77189,8.95,2019-03-11,"['Travel', 'Gas Stations']",Debit Purchase -visa 03/07 card 6332 Marathon Petro12versailles
97730,6.33,2020-09-08,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 09/06
